Segmentasi,Status,New/ Existing,Product,offer status,B/W (Mbps),OTC,MRC,GRAND TOTAL,Cluster
ISP & ICT,in Building,NEW,SMARTLINK,LOST ,0.01,0.03636363636363636,0.011764705882352941,0.028056112224448898,5
ISP & ICT,in Building,NEW,INFYLINK MIX,NEGOTIATION,0.030000000000000002,0.0,0.058823529411764705,0.04809619238476954,3
FINANCIAL & BANKING,in Building,NEW,SMARTLINK,DISSENGGAGED,0.025,0.03636363636363636,0.052941176470588235,0.06312625250501001,0
RETAIL CONSUMER GOODS,in Building,NEW,INFINYLINK,PROPOSAL,0.005,0.07272727272727272,0.041176470588235294,0.07314629258517033,2
EDUCATION,Greenfield,NEW,INFYLINK MIX,NEGOTIATION,0.01,0.05454545454545454,0.15294117647058822,0.15831663326653306,1
EDUCATION,Greenfield,NEW,INFYLINK MIX,NEGOTIATION,0.01,0.05454545454545454,0.15294117647058822,0.15831663326653306,1
EDUCATION,in Building,NEW,SMARTLINK,ACTIVE,0.015000000000000001,0.03636363636363636,0.015294117647058823,0.031062124248496994,5
MANUFAKTUR,in Building,NEW,SMARTLINK,ACTIVE,0.005,0.03272727272727273,0.01588235294117647,0.029559118236472944,0
MANUFAKTUR,in Building,NEW,SMARTLINK,ACTIVE,0.01,0.02727272727272727,0.015294117647058823,0.026052104208416835,0
HEALTH FACILITY,in Building,NEW,SMARTLINK,PROPOSAL,0.005,0.03636363636363636,0.010588235294117647,0.027054108216432865,5
FINANCIAL & BANKING,Greenfield,NEW,INFYLINK MIX,NEGOTIATION,0.001,0.05454545454545454,0.03529411764705882,0.058116232464929855,1
FINANCIAL & BANKING,in Building,NEW,SMARTLINK,PROPOSAL,0.01,0.05454545454545454,0.027058823529411764,0.05110220440881763,5
FINANCIAL & BANKING,in Building,NEW,SMARTLINK,ACTIVE,0.007500000000000001,0.0,0.012941176470588235,0.009018036072144289,5
RETAIL CONSUMER GOODS,in Building,NEW,SMARTLINK,LOST ,0.01,0.03090909090909091,0.015294117647058823,0.028056112224448898,0
OTOMOTIF,in Building,NEW,INFYLINK MIX,PROPOSAL,0.01,0.07272727272727272,0.11764705882352941,0.13827655310621242,3
ISP & ICT,in Building,NEW,INFINYLINK,PROPOSAL,0.01,0.07272727272727272,0.07647058823529411,0.1032064128256513,2
FINANCIAL & BANKING,in Building,NEW,INFYLINK MIX,PROPOSAL,0.002,0.05454545454545454,0.047058823529411764,0.06813627254509018,2
FINANCIAL & BANKING,in Building,NEW,SMARTLINK,PROPOSAL,0.01,0.05454545454545454,0.018823529411764704,0.044088176352705406,5
EDUCATION,in Building,NEW,SMARTLINK,PO CANCELLED,0.01,0.02727272727272727,0.0,0.013026052104208416,5
FINANCIAL & BANKING,in Building,NEW,SMARTLINK,PROPOSAL,0.01,0.045454545454545456,0.027058823529411764,0.04609218436873747,5
EDUCATION,in Building,NEW,INFYLINK MIX,LOST ,0.001,0.01818181818181818,0.011764705882352941,0.018036072144288578,0
EDUCATION,Greenfield,NEW,INFYLINK MIX,PROPOSAL,0.01,0.07272727272727272,0.058823529411764705,0.08817635270541081,1
HEALTH FACILITY,Greenfield,NEW,INFYLINK MIX,PROPOSAL,0.01,0.05454545454545454,0.027058823529411764,0.05110220440881763,1
EDUCATION,in Building,NEW,SMARTLINK,PO WON,0.01,0.02727272727272727,0.0,0.013026052104208416,5
RETAIL CONSUMER GOODS,in Building,EXISTING,SMARTLINK,LOST ,0.025,0.045454545454545456,0.07647058823529411,0.08817635270541081,0
RETAIL CONSUMER GOODS,in Building,NEW,INFINYLINK,LOST ,0.001,0.05454545454545454,0.07647058823529411,0.09318637274549098,4
RETAIL CONSUMER GOODS,in Building,NEW,INFINYLINK,PROPOSAL,0.005,0.07272727272727272,0.041176470588235294,0.07314629258517033,2
HOREKA JKT,in Building,NEW,SMARTLINK,DISSENGGAGED,0.025,0.03636363636363636,0.052941176470588235,0.06312625250501001,0
EDUCATION,Greenfield,NEW,INFYLINK MIX,PROPOSAL,0.01,0.05454545454545454,0.08235294117647059,0.09819639278557114,1
MANUFAKTUR,in Building,NEW,SMARTLINK,LOST ,0.005,0.03090909090909091,0.010588235294117647,0.02404809619238477,0
MANUFAKTUR,in Building,NEW,SMARTLINK,PROPOSAL,0.01,0.07272727272727272,0.03294117647058823,0.06613226452905811,0
EDUCATION,Greenfield,NEW,INFYLINK MIX,PROPOSAL,0.003,0.05454545454545454,0.041176470588235294,0.06312625250501001,1
FINANCIAL & BANKING,in Building,NEW,SMARTLINK,PROPOSAL,0.01,0.05454545454545454,0.018823529411764704,0.044088176352705406,5
ISP & ICT,in Building,NEW,INFINYLINK,LOST ,0.001,0.05454545454545454,0.07647058823529411,0.09318637274549098,4
EDUCATION,in Building,NEW,SMARTLINK,DISSENGGAGED,0.01,0.03636363636363636,0.011764705882352941,0.028056112224448898,5
OTOMOTIF,in Building,NEW,SMARTLINK,PROPOSAL,0.005,0.01818181818181818,0.010588235294117647,0.017034068136272545,5
HEALTH FACILITY,Greenfield,NEW,SMARTLINK,LOST ,0.015000000000000001,0.05454545454545454,0.023529411764705882,0.04809619238476954,0
HEALTH FACILITY,Greenfield,NEW,SMARTLINK,PROPOSAL,0.005,0.02727272727272727,0.011764705882352941,0.02304609218436874,5
FINANCIAL & BANKING,in Building,NEW,INFYLINK MIX,PROPOSAL,0.01,0.03636363636363636,0.08235294117647059,0.08817635270541081,2
EDUCATION,in Building,NEW,INFYLINK MIX,PROPOSAL,0.015000000000000001,0.05454545454545454,0.15294117647058822,0.15831663326653306,1
RETAIL CONSUMER GOODS,in Building,NEW,SMARTLINK,LOST ,0.005,0.045454545454545456,0.010588235294117647,0.03206412825651302,0
EDUCATION,in Building,NEW,SMARTLINK,PROPOSAL,0.005,0.02727272727272727,0.010588235294117647,0.022044088176352707,5
EDUCATION,in Building,NEW,SMARTLINK,LOST ,0.0025,0.02727272727272727,0.008823529411764706,0.020541082164328657,0
FINANCIAL & BANKING,in Building,NEW,SMARTLINK,PROPOSAL,0.01,0.02727272727272727,0.018823529411764704,0.02905811623246493,5
HEALTH FACILITY,in Building,NEW,SMARTLINK,LOST ,0.01,0.03636363636363636,0.029411764705882353,0.04308617234468937,0
MANUFAKTUR,in Building,NEW,SMARTLINK,DISSENGGAGED,0.005,0.03636363636363636,0.0058823529411764705,0.02304609218436874,0
OTHERS,in Building,NEW,SMARTLINK,LOST ,0.025,0.02727272727272727,0.047058823529411764,0.0531062124248497,0
HEALTH FACILITY,in Building,NEW,SMARTLINK,ACTIVE,0.01,0.03636363636363636,0.023529411764705882,0.038076152304609215,5
OTHERS,in Building,NEW,INFINYLINK,ACTIVE,0.002,0.08181818181818182,0.03764705882352941,0.0751503006012024,2
OTHERS,in Building,NEW,SMARTLINK,LOST ,0.005,0.03090909090909091,0.010588235294117647,0.02404809619238477,0
FINANCIAL & BANKING,in Building,NEW,SMARTLINK,PROPOSAL,0.01,0.03636363636363636,0.018823529411764704,0.03406813627254509,5
FINANCIAL & BANKING,in Building,NEW,SMARTLINK,PO WON,0.01,0.03636363636363636,0.01764705882352941,0.033066132264529056,5
FINANCIAL & BANKING,in Building,NEW,SMARTLINK,PO WON,0.015000000000000001,0.03636363636363636,0.01764705882352941,0.033066132264529056,5
EDUCATION,Greenfield,NEW,INFYLINK MIX,PROPOSAL,0.01,0.03636363636363636,0.07647058823529411,0.08316633266533066,1
OTHERS,in Building,NEW,SMARTLINK,LOST ,0.0025,0.02727272727272727,0.010588235294117647,0.022044088176352707,0
OTHERS,in Building,NEW,SMARTLINK,NEGOTIATION,0.005,0.03636363636363636,0.007058823529411764,0.02404809619238477,5
RETAIL CONSUMER GOODS,in Building,NEW,SMARTLINK,PROPOSAL,0.01,0.045454545454545456,0.018823529411764704,0.03907815631262525,5
EDUCATION,Greenfield,NEW,INFYLINK MIX,PROPOSAL,0.1,0.05454545454545454,0.2588235294117647,0.24849699398797592,1
EDUCATION,Greenfield,NEW,SMARTLINK,PROPOSAL,0.05,0.03636363636363636,0.07647058823529411,0.08316633266533066,1
MANUFAKTUR,Greenfield,NEW,SMARTLINK,NEGOTIATION,0.0025,0.05454545454545454,0.007647058823529411,0.034569138276553106,0
ISP & ICT,in Building,NEW,SMARTLINK,PO WON,0.005,0.03636363636363636,0.010588235294117647,0.027054108216432865,5
OTHERS,in Building,NEW,INFINYLINK,LOST ,0.001,0.05454545454545454,0.07647058823529411,0.09318637274549098,4
MANUFAKTUR,Greenfield,NEW,LOCALLOOP,NEGOTIATION,0.01,0.06363636363636363,0.11764705882352941,0.13326653306613226,3
EDUCATION,Greenfield,NEW,INFYLINK MIX,PROPOSAL,0.01,0.05454545454545454,0.07647058823529411,0.09318637274549098,1
MANUFAKTUR,Greenfield,NEW,INFYLINK MIX,PROPOSAL,0.005,0.05454545454545454,0.08235294117647059,0.09819639278557114,1
ISP & ICT,in Building,NEW,BOD,PROPOSAL,0.01,0.18181818181818182,0.0,0.09819639278557114,5
MANUFAKTUR,in Building,NEW,SMARTLINK,NEGOTIATION,0.005,0.01818181818181818,0.011764705882352941,0.018036072144288578,0
MANUFAKTUR,in Building,NEW,SMARTLINK,NEGOTIATION,0.01,0.01818181818181818,0.011764705882352941,0.018036072144288578,0
EDUCATION,Greenfield,NEW,SMARTLINK,PROPOSAL,0.01,0.05454545454545454,0.015294117647058823,0.041082164328657314,1
FINANCIAL & BANKING,in Building,NEW,SMARTLINK,PROPOSAL,0.005,0.02727272727272727,0.010588235294117647,0.022044088176352707,5
MANUFAKTUR,in Building,NEW,SMARTLINK,PROPOSAL,0.01,0.02727272727272727,0.015294117647058823,0.026052104208416835,5
RETAIL CONSUMER GOODS,Greenfield,NEW,INFYLINK MIX,PROPOSAL,0.003,0.05454545454545454,0.047058823529411764,0.06813627254509018,1
ISP & ICT,in Building,NEW,DATA CENTER,NEGOTIATION,0.0001,0.01818181818181818,0.023529411764705882,0.028056112224448898,5
MANUFAKTUR,in Building,NEW,INFYLINK MIX,PO WON,0.030000000000000002,0.03636363636363636,0.1411764705882353,0.13827655310621242,3
ISP & ICT,Greenfield,NEW,INFYLINK MIX,PROPOSAL,0.005,0.03636363636363636,0.07058823529411765,0.0781563126252505,1
OTHERS,in Building,NEW,INFINYLINK,LOST ,0.002,0.05454545454545454,0.09999999999999999,0.11322645290581163,4
RETAIL CONSUMER GOODS,in Building,NEW,SMARTLINK,PROPOSAL,0.01,0.02727272727272727,0.015294117647058823,0.026052104208416835,5
ISP & ICT,in Building,NEW,SMARTLINK,PROPOSAL,0.01,0.02727272727272727,0.015294117647058823,0.026052104208416835,5
EDUCATION,Greenfield,NEW,CCTV,NEGOTIATION,0.0,0.7090909090909091,0.0,0.38877755511022044,3
EDUCATION,in Building,EXISTING,SMARTLINK,ACTIVE,0.1,0.0,0.023529411764705882,0.018036072144288578,5
FINANCIAL & BANKING,in Building,NEW,INFYLINK MIX,NEGOTIATION,0.001,0.05454545454545454,0.03529411764705882,0.058116232464929855,3
MANUFAKTUR,in Building,NEW,DATA CENTER,PROPOSAL,0.01,0.03636363636363636,0.11764705882352941,0.11823647294589178,2
MANUFAKTUR,in Building,NEW,SMARTLINK,PROPOSAL,0.005,0.02727272727272727,0.010588235294117647,0.022044088176352707,5
MANUFAKTUR,in Building,NEW,SMARTLINK,PROPOSAL,0.01,0.02727272727272727,0.015294117647058823,0.026052104208416835,5
MANUFAKTUR,in Building,NEW,INFYLINK MIX,PROPOSAL,0.01,0.02727272727272727,0.07647058823529411,0.0781563126252505,2
ISP & ICT,in Building,NEW,LOCAL LOOP,NEGOTIATION,0.005,0.03636363636363636,0.03529411764705882,0.04809619238476954,5
OTHERS,in Building,NEW,SMARTLINK,PROPOSAL,0.01,0.03636363636363636,0.018823529411764704,0.03406813627254509,5
ISP & ICT,in Building,EXISTING,SMARTLINK,NEGOTIATION,0.007500000000000001,0.0,0.012941176470588235,0.009018036072144289,5
OTHERS,in Building,NEW,SMARTLINK,PROPOSAL,0.01,0.02727272727272727,0.023529411764705882,0.033066132264529056,5
ISP & ICT,in Building,NEW,LOCAL LOOP,PROPOSAL,0.02,0.09090909090909091,0.11764705882352941,0.14829659318637273,5
OTHERS,Greenfield,NEW,INFYLINK MIX,PROPOSAL,0.015000000000000001,0.05454545454545454,0.1411764705882353,0.14829659318637273,1
ISP & ICT,in Building,NEW,LOCAL LOOP,PROPOSAL,0.02,0.09090909090909091,0.11764705882352941,0.14829659318637273,5
FINANCIAL & BANKING,in Building,NEW,DATA CENTER,PO WON,0.01,0.05454545454545454,0.1411764705882353,0.14829659318637273,2
FINANCIAL & BANKING,in Building,NEW,DATA CENTER,NEGOTIATION,0.01,0.05454545454545454,0.1411764705882353,0.14829659318637273,3
EDUCATION,Greenfield,NEW,INFYLINK MIX,LOST ,0.01,0.07272727272727272,0.11764705882352941,0.13827655310621242,1
HOREKA JKT,in Building,NEW,INFINYLINK,NEGOTIATION,0.01,0.05454545454545454,0.08,0.09619238476953908,2
ISP & ICT,in Building,NEW,LOCAL LOOP,NEGOTIATION,0.005,0.045454545454545456,0.03529411764705882,0.0531062124248497,5
RETAIL CONSUMER GOODS,in Building,NEW,INFINYLINK,PROPOSAL,0.001,0.08181818181818182,0.029411764705882353,0.06813627254509018,2
RETAIL CONSUMER GOODS,in Building,NEW,SMARTLINK,PROPOSAL,0.01,0.02727272727272727,0.015294117647058823,0.026052104208416835,5
ISP & ICT,in Building,EXISTING,SMARTLINK,PO WON,0.007500000000000001,0.0,0.002352941176470588,0.0,5
RETAIL CONSUMER GOODS,in Building,NEW,SMARTLINK,LOST ,0.0025,0.03636363636363636,0.011764705882352941,0.028056112224448898,0
OTHERS,in Building,NEW,INFINYLINK,LOST ,0.005,0.06363636363636363,0.052941176470588235,0.0781563126252505,2
OTHERS,in Building,NEW,SMARTLINK,LOST ,0.005,0.03636363636363636,0.007058823529411764,0.02404809619238477,0
ISP & ICT,in Building,EXISTING,INFYLINK MIX,NEGOTIATION,0.0006000000000000001,0.02727272727272727,0.029411764705882353,0.038076152304609215,5
EDUCATION,in Building,NEW,SMARTLINK,PROPOSAL,0.01,0.045454545454545456,0.029411764705882353,0.04809619238476954,5
EDUCATION,in Building,NEW,SMARTLINK,PROPOSAL,0.01,0.045454545454545456,0.029411764705882353,0.04809619238476954,5
ISP & ICT,in Building,EXISTING,SMARTLINK,PO WON,0.01,0.0,0.002352941176470588,0.0,5
ISP & ICT,in Building,NEW,INFYLINK MIX,PO WON,0.02,0.01818181818181818,0.1764705882352941,0.15831663326653306,3
OTHERS,in Building,NEW,SMARTLINK,LOST ,0.01,0.03090909090909091,0.015294117647058823,0.028056112224448898,0
FINANCIAL & BANKING,in Building,NEW,SMARTLINK,PROPOSAL,0.01,0.02727272727272727,0.018823529411764704,0.02905811623246493,5
OTOMOTIF,in Building,NEW,SMARTLINK,PROPOSAL,0.01,0.045454545454545456,0.030588235294117645,0.049098196392785565,5
EDUCATION,in Building,NEW,SMARTLINK,PROPOSAL,0.01,0.02727272727272727,0.023529411764705882,0.033066132264529056,5
HEALTH FACILITY,Greenfield,NEW,INFYLINK MIX,PROPOSAL,0.1,0.0,0.5882352941176471,0.4989979959919839,3
HEALTH FACILITY,Greenfield,NEW,INFYLINK MIX,PROPOSAL,0.05,0.0,0.23529411764705882,0.19839679358717435,1
FINANCIAL & BANKING,in Building,NEW,DATA CENTER,PO WON,0.005,0.05454545454545454,0.07058823529411765,0.08817635270541081,2
FINANCIAL & BANKING,in Building,NEW,DATA CENTER,PO WON,0.0001,0.02727272727272727,0.01764705882352941,0.028056112224448898,2
RETAIL CONSUMER GOODS,in Building,NEW,SMARTLINK,LOST ,0.01,0.03636363636363636,0.015294117647058823,0.031062124248496994,0
RETAIL CONSUMER GOODS,in Building,NEW,SMARTLINK,LOST ,0.005,0.03090909090909091,0.010588235294117647,0.02404809619238477,0
HEALTH FACILITY,in Building,NEW,SMARTLINK,PROPOSAL,0.01,0.02727272727272727,0.023529411764705882,0.033066132264529056,5
FINANCIAL & BANKING,in Building,NEW,INFINYLINK,PROPOSAL,0.01,0.07272727272727272,0.07647058823529411,0.1032064128256513,2
RETAIL CONSUMER GOODS,in Building,NEW,SMARTLINK,PROPOSAL,0.005,0.02727272727272727,0.010588235294117647,0.022044088176352707,5
HEALTH FACILITY,Greenfield,NEW,SMARTLINK,PROPOSAL,0.01,0.02727272727272727,0.018823529411764704,0.02905811623246493,5
EDUCATION,in Building,NEW,INFYLINK MIX,PROPOSAL,0.005,0.045454545454545456,0.058823529411764705,0.07314629258517033,1
RETAIL CONSUMER GOODS,in Building,NEW,SMARTLINK,PROPOSAL,0.005,0.01818181818181818,0.014117647058823528,0.020040080160320644,5
EDUCATION,Greenfield,NEW,INFYLINK MIX,NEGOTIATION,0.01,0.02727272727272727,0.047058823529411764,0.0531062124248497,1
HEALTH FACILITY,in Building,NEW,INFYLINK MIX,NEGOTIATION,0.05,0.045454545454545456,0.19999999999999998,0.1933867735470942,3
OTHERS,in Building,NEW,SMARTLINK,LOST ,0.01,0.03090909090909091,0.015294117647058823,0.028056112224448898,0
EDUCATION,Greenfield,NEW,SMARTLINK,PROPOSAL,0.005,0.02727272727272727,0.010588235294117647,0.022044088176352707,1
OTHERS,in Building,NEW,INFYLINK MIX,PROPOSAL,0.002,0.05454545454545454,0.047058823529411764,0.06813627254509018,2
FINANCIAL & BANKING,in Building,NEW,SMARTLINK,LOST ,0.005,0.03090909090909091,0.010588235294117647,0.02404809619238477,0
MANUFAKTUR,in Building,NEW,SMARTLINK,LOST ,0.005,0.03090909090909091,0.010588235294117647,0.02404809619238477,0
RETAIL CONSUMER GOODS,in Building,NEW,SMARTLINK,LOST ,0.005,0.03090909090909091,0.010588235294117647,0.02404809619238477,0
RETAIL CONSUMER GOODS,in Building,NEW,SMARTLINK,LOST ,0.005,0.03090909090909091,0.010588235294117647,0.02404809619238477,0
FINANCIAL & BANKING,in Building,NEW,SMARTLINK,LOST ,0.005,0.03090909090909091,0.010588235294117647,0.02404809619238477,0
ISP & ICT,in Building,NEW,INFINYLINK,LOST ,0.005,0.045454545454545456,0.07176470588235294,0.0841683366733467,4
RETAIL CONSUMER GOODS,in Building,NEW,SMARTLINK,PROPOSAL,0.0025,0.03636363636363636,0.010588235294117647,0.027054108216432865,5
MANUFAKTUR,in Building,NEW,SMARTLINK,LOST ,0.0025,0.03090909090909091,0.007647058823529411,0.02154308617234469,0
FINANCIAL & BANKING,in Building,NEW,INFINYLINK,LOST ,0.01,0.045454545454545456,0.10705882352941176,0.11422845691382764,2
OTOMOTIF,in Building,NEW,INFINYLINK,LOST ,0.01,0.045454545454545456,0.10705882352941176,0.11422845691382764,4
RETAIL CONSUMER GOODS,in Building,NEW,INFINYLINK,LOST ,0.005,0.045454545454545456,0.07176470588235294,0.0841683366733467,4
FINANCIAL & BANKING,in Building,NEW,SMARTLINK,LOST ,0.005,0.03090909090909091,0.010588235294117647,0.02404809619238477,0
EDUCATION,in Building,NEW,INFINYLINK,LOST ,0.005,0.045454545454545456,0.07176470588235294,0.0841683366733467,4
MANUFAKTUR,in Building,NEW,SMARTLINK,LOST ,0.005,0.03090909090909091,0.010588235294117647,0.02404809619238477,0
MANUFAKTUR,in Building,NEW,SMARTLINK,LOST ,0.005,0.03090909090909091,0.010588235294117647,0.02404809619238477,0
FINANCIAL & BANKING,in Building,NEW,SMARTLINK,LOST ,0.005,0.03090909090909091,0.010588235294117647,0.02404809619238477,0
RETAIL CONSUMER GOODS,in Building,NEW,SMARTLINK,LOST ,0.005,0.03090909090909091,0.010588235294117647,0.02404809619238477,0
RETAIL CONSUMER GOODS,in Building,NEW,SMARTLINK,LOST ,0.005,0.03636363636363636,0.007058823529411764,0.02404809619238477,0
MANUFAKTUR,in Building,NEW,SMARTLINK,LOST ,0.005,0.03090909090909091,0.010588235294117647,0.02404809619238477,0
FINANCIAL & BANKING,in Building,NEW,SMARTLINK,LOST ,0.005,0.03090909090909091,0.010588235294117647,0.02404809619238477,0
MANUFAKTUR,in Building,NEW,SMARTLINK,LOST ,0.005,0.03090909090909091,0.010588235294117647,0.02404809619238477,0
FINANCIAL & BANKING,in Building,NEW,SMARTLINK,LOST ,0.005,0.03090909090909091,0.010588235294117647,0.02404809619238477,0
ISP & ICT,in Building,NEW,SMARTLINK,LOST ,0.015000000000000001,0.03090909090909091,0.023529411764705882,0.03507014028056112,5
MANUFAKTUR,in Building,NEW,SMARTLINK,LOST ,0.005,0.03090909090909091,0.010588235294117647,0.02404809619238477,0
FINANCIAL & BANKING,in Building,NEW,SMARTLINK,LOST ,0.005,0.03090909090909091,0.010588235294117647,0.02404809619238477,0
MANUFAKTUR,in Building,NEW,SMARTLINK,LOST ,0.0025,0.03090909090909091,0.007647058823529411,0.02154308617234469,0
ISP & ICT,in Building,NEW,SMARTLINK,LOST ,0.0025,0.03090909090909091,0.007647058823529411,0.02154308617234469,5
MANUFAKTUR,in Building,NEW,SMARTLINK,LOST ,0.005,0.03090909090909091,0.010588235294117647,0.02404809619238477,0
MANUFAKTUR,in Building,NEW,SMARTLINK,LOST ,0.0025,0.03090909090909091,0.007647058823529411,0.02154308617234469,0
MANUFAKTUR,in Building,NEW,INFINYLINK,LOST ,0.005,0.03090909090909091,0.010588235294117647,0.02404809619238477,0
MANUFAKTUR,in Building,NEW,INFINYLINK,LOST ,0.005,0.045454545454545456,0.07176470588235294,0.0841683366733467,0
RETAIL CONSUMER GOODS,in Building,NEW,SMARTLINK,LOST ,0.005,0.03090909090909091,0.010588235294117647,0.02404809619238477,0
ISP & ICT,in Building,NEW,SMARTLINK,ACTIVE,0.01,0.022727272727272728,0.01941176470588235,0.027054108216432865,5
MANUFAKTUR,in Building,NEW,SMARTLINK,LOST ,0.01,0.03090909090909091,0.015294117647058823,0.028056112224448898,0
MANUFAKTUR,in Building,NEW,INFINYLINK,LOST ,0.01,0.045454545454545456,0.10705882352941176,0.11422845691382764,0
RETAIL CONSUMER GOODS,in Building,NEW,SMARTLINK,PROPOSAL,0.005,0.02727272727272727,0.007058823529411764,0.01903807615230461,5
MANUFAKTUR,in Building,NEW,SMARTLINK,PROPOSAL,0.005,0.07272727272727272,0.018823529411764704,0.05410821643286573,0
RETAIL CONSUMER GOODS,in Building,NEW,SMARTLINK,LOST ,0.01,0.03090909090909091,0.015294117647058823,0.028056112224448898,0
MANUFAKTUR,in Building,NEW,SMARTLINK,LOST ,0.01,0.03090909090909091,0.015294117647058823,0.028056112224448898,0
MANUFAKTUR,in Building,NEW,INFINYLINK,LOST ,0.005,0.045454545454545456,0.07176470588235294,0.0841683366733467,0
MANUFAKTUR,in Building,NEW,SMARTLINK,LOST ,0.01,0.03090909090909091,0.015294117647058823,0.028056112224448898,0
ISP & ICT,in Building,NEW,INFINYLINK,LOST ,0.01,0.045454545454545456,0.10705882352941176,0.11422845691382764,4
MANUFAKTUR,in Building,NEW,INFINYLINK,LOST ,0.02,0.045454545454545456,0.1411764705882353,0.1432865731462926,0
ISP & ICT,in Building,NEW,INFINYLINK,LOST ,0.015000000000000001,0.045454545454545456,0.11764705882352941,0.12324649298597193,4
OTHERS,in Building,NEW,SMARTLINK,NEGOTIATION,0.005,0.03636363636363636,0.007058823529411764,0.02404809619238477,5
OTHERS,in Building,NEW,INFYLINK MIX,NEGOTIATION,0.002,0.045454545454545456,0.03764705882352941,0.05511022044088176,3
OTHERS,in Building,NEW,SMARTLINK,LOST ,0.0025,0.03090909090909091,0.007647058823529411,0.02154308617234469,0
OTHERS,in Building,NEW,INFINYLINK,LOST ,0.01,0.045454545454545456,0.08588235294117647,0.09619238476953908,4
OTHERS,in Building,NEW,INFYLINK MIX,DISSENGGAGED,0.005,0.03636363636363636,0.0976470588235294,0.10120240480961923,3
ISP & ICT,in Building,NEW,INFINYLINK,LOST ,0.01,0.045454545454545456,0.10705882352941176,0.11422845691382764,4
OTHERS,in Building,NEW,SMARTLINK,NEGOTIATION,0.005,0.02727272727272727,0.010588235294117647,0.022044088176352707,5
HOREKA JKT,in Building,NEW,INFINYLINK,LOST ,0.002,0.045454545454545456,0.04470588235294117,0.06112224448897795,0
HOREKA JKT,in Building,NEW,INFINYLINK,ACTIVE,0.002,0.03636363636363636,0.047058823529411764,0.058116232464929855,2
ISP & ICT,in Building,NEW,SMARTLINK,DISSENGGAGED,0.01,0.03636363636363636,0.015294117647058823,0.031062124248496994,5
RETAIL CONSUMER GOODS,in Building,NEW,SMARTLINK,PROPOSAL,0.005,0.045454545454545456,0.007058823529411764,0.02905811623246493,5
OTHERS,in Building,NEW,SMARTLINK,DISSENGGAGED,0.01,0.02727272727272727,0.015294117647058823,0.026052104208416835,5
OTHERS,in Building,NEW,INFYLINK MIX,PROPOSAL,0.005,0.05454545454545454,0.07647058823529411,0.09318637274549098,2
OTHERS,in Building,NEW,SMARTLINK,PROPOSAL,0.01,0.01818181818181818,0.011764705882352941,0.018036072144288578,5
OTHERS,in Building,NEW,INFYLINK MIX,DISSENGGAGED,0.001,0.045454545454545456,0.029411764705882353,0.04809619238476954,3
MANUFAKTUR,in Building,NEW,INFINYLINK,LOST ,0.01,0.045454545454545456,0.10705882352941176,0.11422845691382764,0
HEALTH FACILITY,in Building,NEW,SMARTLINK,LOST ,0.005,0.045454545454545456,0.010588235294117647,0.03206412825651302,0
RETAIL CONSUMER GOODS,in Building,NEW,SMARTLINK,PROPOSAL,0.01,0.01818181818181818,0.03294117647058823,0.03607214428857715,5
OTHERS,in Building,NEW,SMARTLINK,PROPOSAL,0.005,0.02727272727272727,0.010588235294117647,0.022044088176352707,5
ISP & ICT,in Building,NEW,SMARTLINK,LOST ,0.005,0.045454545454545456,0.010588235294117647,0.03206412825651302,5
OTHERS,in Building,NEW,INFINYLINK,LOST ,0.001,0.07272727272727272,0.07647058823529411,0.1032064128256513,4
FINANCIAL & BANKING,in Building,NEW,INFINYLINK,LOST ,0.001,0.045454545454545456,0.03294117647058823,0.05110220440881763,2
RETAIL CONSUMER GOODS,in Building,NEW,INFINYLINK,PROPOSAL,0.001,0.08181818181818182,0.029411764705882353,0.06813627254509018,2
FINANCIAL & BANKING,in Building,NEW,INFINYLINK,DISSENGGAGED,0.005,0.045454545454545456,0.06470588235294117,0.0781563126252505,2
MANUFAKTUR,in Building,NEW,SMARTLINK,LOST ,0.005,0.03636363636363636,0.015294117647058823,0.031062124248496994,0
HOREKA JKT,in Building,NEW,SMARTLINK,LOST ,0.005,0.03636363636363636,0.016470588235294115,0.03206412825651302,0
MANUFAKTUR,in Building,NEW,INFINYLINK,LOST ,0.005,0.045454545454545456,0.16470588235294117,0.16332665330661322,0
ISP & ICT,in Building,NEW,SMARTLINK,LOST ,0.0025,0.03090909090909091,0.007647058823529411,0.02154308617234469,5
FINANCIAL & BANKING,in Building,NEW,SMARTLINK,LOST ,0.01,0.03090909090909091,0.015294117647058823,0.028056112224448898,0
HEALTH FACILITY,Greenfield,NEW,INFINYLINK,LOST ,0.015000000000000001,0.05454545454545454,0.12941176470588234,0.13827655310621242,4
EDUCATION,Greenfield,NEW,INFINYLINK,LOST ,0.02,0.05454545454545454,0.21764705882352942,0.21342685370741482,4
MANUFAKTUR,Greenfield,NEW,INFINYLINK,LOST ,0.01,0.06363636363636363,0.10705882352941176,0.12424849699398796,4
MANUFAKTUR,Greenfield,NEW,INFINYLINK,LOST ,0.01,0.06363636363636363,0.10705882352941176,0.12424849699398796,4
OTOMOTIF,Greenfield,NEW,INFINYLINK,LOST ,0.0025,0.06363636363636363,0.047058823529411764,0.07314629258517033,4
FINANCIAL & BANKING,in Building,NEW,INFINYLINK,LOST ,0.0025,0.045454545454545456,0.03294117647058823,0.05110220440881763,2
FINANCIAL & BANKING,in Building,NEW,SMARTLINK,LOST ,0.01,0.03636363636363636,0.015294117647058823,0.031062124248496994,0
